pH,Digestates,Feedstock,DM,OM,TOC,TOC_TN,TN,NH4_N,NH4_TN
8.6,4,3,26.3,360,200,1.3,155,153.9,99.3
7.1,4,1,26.3,710,394.4,4.9,79.8,43.5,54.5
7.8,4,3,26,623,346.1,13.7,25.2,23.9,94.8
7.6,4,3,26,615,341.6,2.8,121,100.2,82.8
7.8,5,1,26,602,334.4,2.2,153,118.9,77.7
8.2,4,3,26,596,331.1,1.7,192,149.2,77.7
8,4,2,26,655,363.9,1.7,212,163.8,77.3
8.3,4,3,26,571,317.2,1.5,205,151.2,73.8
7.7,4,3,26,643,357.2,1.7,207,151.9,73.4
8.1,4,3,26,519,288.3,1.6,185,129.5,70
7.5,4,3,26,706,392.2,2.8,142,94,66.2
7.7,4,1,26,808,448.8,6.4,70.4,46.5,66.1
7.8,4,1,26,744,413.3,5.6,73.7,45.8,62.1
7.8,4,1,26,738,410,5.6,73.7,45,61.1
7.5,4,2,26,683,379.4,3.5,107,55.8,52.1
8.2,4,3,25.8,367,203.9,1.1,193,185.9,96.3
7.2,4,1,25.4,724,402.2,3,133,58.9,44.3
7.6,4,3,25,666,370,2.4,157,151.2,96.3
7.4,4,3,25,698,387.7,3.2,122,101,82.8
8.3,4,3,25,539,299.4,1.7,180,146.2,81.2
7.4,4,3,25,696,386.6,3.1,124,94,75.8
7.5,4,3,25,691,383.9,2.9,133,100.2,75.3
7.6,4,3,25,630,350,2,177,132.4,74.8
7.7,4,3,25,674,374.4,2.1,178,131.4,73.8
8,4,3,25,511,283.9,1.3,212,156.4,73.8
7.7,4,3,25,652,362.2,2.3,157,114.7,73.1
7.1,4,3,25,711,395,2.9,138,98.2,71.2
8.2,4,3,25,598,332.2,1.7,196,139.4,71.1
8.1,4,3,25,477,265,1.1,236,165.1,70
7.9,4,1,25,741,411.6,5.5,75,48.6,64.8
7.7,4,3,25,709,393.8,3.3,119,70.7,59.4
8.1,4,3,25,528,293.3,1.8,164,96.5,58.8
8.1,4,3,25,710,394.4,2.9,135,78.4,58.1
7.6,4,2,25,675,375,2.3,162,80,49.4
8,4,3,24.8,615,341.6,1.7,204,163.6,80.2
8.2,4,2,24.6,573.2,318.4,1.9,170.7,93.5,54.8
8.1,4,3,24.4,604,335.5,1.7,199,159,79.9
8.6,4,3,24.1,364,202.2,1.2,169,166.3,98.4
7.8,5,2,24,587,326.1,1.9,169,157.5,93.2
8.3,4,3,24,607,337.2,1.8,185,168.4,91
8.1,4,2,24,479,266.1,1,257,214.1,83.3
7.9,4,2,24,660,366.6,2.1,172,142.9,83.1
7.4,4,3,24,650,361.1,2,179,146.5,81.8
7.6,4,3,24,664,368.9,2.3,159,127.9,80.4
8.1,4,3,24,597,331.6,1.5,215,172.1,80
8.1,4,3,24,587,326.1,1.8,182,145,79.7
7.3,4,3,24,679,377.2,2.6,144,105.2,73.1
7.5,4,3,24,687,381.6,2.9,131,91.8,70.1
7.7,4,2,24,678,376.6,4.4,85.4,58.9,69
8,4,1,24,743,412.7,5.5,75.7,47.7,63
8.2,4,2,24,579.2,321.7,1.8,175,95.8,54.7
7.9,4,1,24,630,350,1.6,225,54.2,24.1
7.9,4,1,24,629.2,349.5,6.4,54.2,12.5,23.1
8.1,4,3,23.8,612,340,1.7,202,168.5,83.4
8.3,4,3,23.7,364,202.2,0.9,222,208.3,93.8
8.1,4,2,23.3,590,327.7,1.7,195,143.8,73.7
8.2,4,3,23,590,327.7,1.8,179,177.4,99.1
8.2,4,3,23,604,335.5,1.9,180,159.4,88.6
7.6,4,3,23,538,298.9,2,148,130.2,88
8.4,4,3,23,555,308.3,1.6,188,164.3,87.4
7.5,4,3,23,569,316.1,2.2,147,125.5,85.4
8.4,4,3,23,576,320,1.7,187,147,78.6
7.7,4,3,23,643,357.2,1.7,205,154.6,75.4
7.4,4,3,23,614,341.1,2,173,108.5,62.7
8.2,4,3,22.1,660,366.6,6.2,59.6,55,92.3
7.9,4,2,22,610,338.9,1.8,190,168,88.4
8.5,4,3,22,640,355.5,1.9,192,164,85.4
7.9,5,2,22,611,339.4,1.8,185,156.4,84.5
7.5,4,3,22,580,322.2,2.2,149,109.1,73.2
7.6,4,3,22,695,386.1,3.1,125,91.4,73.1
7.6,4,3,22,642,356.6,2.9,124,89.1,71.9
8.3,4,3,22,502,278.9,1,276,191.3,69.3
7.7,4,1,22,759,421.6,5.3,79.3,42.4,53.5
8,4,2,21,627,348.3,1.7,208,204.9,98.5
8.1,4,3,21,560,311.1,2.2,142,137,96.5
8.4,4,3,21,578,321.1,1.5,217,181.8,83.8
7.7,4,3,21,669,371.6,2.4,156,116.9,74.9
8.1,4,2,21,691,383.9,1.6,237,146.2,61.7
7.7,4,1,21,744,413.3,5.5,75.4,45.9,60.9
8.5,4,2,21,631,350.5,1.9,188,110.3,58.7
7.7,4,3,20,633,351.6,1.6,215,195.5,90.9
8.2,4,2,20,679,377.2,1.6,235,145.1,61.7
7.7,4,3,19,652,362.2,2.1,175,174.4,99.7
7.9,4,3,19,556,308.9,1.7,186,161.7,86.9
8,4,3,19,557,309.4,1.6,191,155.2,81.3
8.1,4,3,18,548,304.4,1.8,171,166.1,97.1
8.2,5,2,18,482,267.8,1.6,164,127.8,77.9
7.5,4,3,18,643,357.2,1.6,223,171.2,76.8
7.7,4,3,18,648,360,1.8,204,138,67.6
7.9,4,3,18,586,325.5,1.7,194,128.3,66.1
7.8,4,1,18,748,415.5,6.5,63.6,40,62.9
7.7,4,1,18,762,423.3,6,70.6,43.4,61.5
7.7,5,1,17,564,313.3,1.5,205,160.4,78.2
8.1,4,3,16,556,308.9,1.1,283,207.1,73.2
7.5,4,3,14,623,346.1,1.5,228,180.4,79.1
7.1,4,3,13,604,335.5,1.5,220,174.3,79.2
7.7,4,3,13,561,311.6,1.9,160,123.2,77
7.8,4,1,12,727,403.8,4.5,89.4,55.3,61.9
7.5,4,3,11,554,307.7,2.4,130,102,78.5
8.3,4,1,6.7,582.1,323.4,4.3,74.6,29.9,40.1
